label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
0	-13 N	-0.7621	dog	Fremont, San Diego, Bakersfield, Chula Vista	0.1659 mph	0.5242	-0.693 m^3	236	1180	-0.0104	-826	639	2122	91
2	22 N	-0.0657	cat	Anaheim, San Jose, San Bernardino, Moreno Valley, Modesto, Oakland	1.0604 mph	1.3182	0.3993 m^3	1677	106	1.3009	-295	-74	780	-653
3	864 N	0.4175	cat	Santa Ana, Stockton	1.09 mph	0.8008	-0.0438 m^3	-910	460	-0.1614	743	363	817	-1055
0	595 N	1.602	chicken	sAN dIEGO, fRESNO, bAKERSFIELD, iRVINE, cHULA vISTA	-0.4532 mph	0.7081	0.3591 m^3	33	-1090	0.1294	1946	85	563	557
1	-162 N	2.2699	hamster	Santa Clarita	1.964 mph	-0.8594	1.3521 m^3	633	649	0.0417	-1003	486	1030	103
2	-502 N	0.8017	hamster	Modesto, Oakland, San Jose, Moreno Valley, Los Angeles, Anaheim	1.423 mph	0.6815	1.0033 m^3	-562	1434	0.8812	1608	673	578	1113
2	402 N	0.8856	hamster	San Jose	-0.2376 mph	0.4524	0.4723 m^3	-667	-961	1.7375	-1168	-156	1823	-293
2	-44 N	-0.0423	hamster	Anaheim	0.0711 mph	-0.2999	2.9535 m^3	-608	517	0.9416	-407	1782	1533	-1554
0	1218 N	2.4712	dog	San Diego, Fremont, Irvine, Fresno, Chula Vista, Bakersfield	1.2759 mph	1.9889	-1.4904 m^3	-372	1453	0.0038	-760	-1170	2410	988
0	1090 N	0.8716	chicken	San Diego, Fremont, Long Beach	2.2933 mph	2.6417	-0.9162 m^3	-609	-796	0.8136	1301	45	-494	-276
3	1177 N	1.1349	rabbit	Stockton, San Francisco	-0.994 mph	-0.3572	-0.2431 m^3	254	1112	0.9853	937	286	N/A	1783
2	272 N	0.2591	ferret	Moreno Valley	-0.2119 mph	0.473	1.2554 m^3	-987	370	-0.0314	1305	734	256	600
1	-486 N	1.3629	rat	Riverside	1.2291 mph	-0.4517	1.0559 m^3	663	1314	-0.2076		-419	577	1338
2	-738 N	-0.1405	pig	Modesto, Moreno Valley, San Jose	0.1875 mph	1.5879	1.7466 m^3	-541	-238	?	-623	40	-146	-149
3	-240 N	-0.2597	ferret	Stockton, San Francisco	0.3572 mph	1.1799	1.4312 m^3	319	1209	0.9954	104	-101	2234	-169
1	602 N	-0.547	RAT	Moreno Valley, Anaheim, Oakland	1.9849 mph	1.3538	-1.2712 m^3	899	-1121	0.9296	-533	313	757	1499
